ncm,descripcion,die_aec,tasa_estadistica,iva,iva_reducido,bk_bit,nota
03024100,--Arenques (Clupea harengus. Clupea pallasii),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03024210,Anchoitas (Engraulis anchoita),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03024290,Las demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03024300,--Sardinas (Sardina pilchardus. Sardinops spp.). sardinelas (Sardinella spp.) y espadines (Sprattus sprattus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03024400,--Caballas (Scomber scombrus. Scomber australasicus. Scomber japonicus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03024500,--Jureles (Trachurus spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03024600,--Cobias (Rachycentron canadum),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03024700,--Peces Espada (Xiphias gladius),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03024910,Agujas. marlines. peces vela o picudos (Istiophoridae),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03024990,Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03025100,--Bacalaos (Gadus morhua. Gadus ogac. Gadus macrocephalus),,3,21,false,,Base NCM feb-2023 (Kaggle).
03025200,--Eglefinos (Melanogrammus aeglefinus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03025300,--Carboneros (Pollachius virens),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03025400,Hubbsi (Merluccius hubbsi),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03025500,--Abadejo de Alaska (Theragra chalcogramma),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03025600,Polaca (Micromesistius australis),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03025900,Bacalao criollo (Salilota australis),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03027100,--Tilapias (Oreochromis spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03027210,Bagres de canal (Ictalurus punctatus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03027290,Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03027300,--Carpas (Cyprinus spp.. Carassius spp.. Ctenopharyngodon idellus. Hypophthalmichthys spp.. Cirrhinus spp.. Mylopharyngodon piceus. Catla catla. Labeo spp.. Osteochilus hasselti. Leptobarbus hoeveni. Megalobrama spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03027400,--Anguilas (Anguilla spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03027900,--Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028100,Gatuzo (Mustelus schmitti),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028200,--Rayas (Rajidae),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028310,Merluzas negras (Dissostichus eleginoides),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028320,Austromerluzas antarticas (Dissostichus mawsoni),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028400,--Robalos (Dicentrarchus spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028500,Besugo (Pagrus pagrus) (Res. 137/08 MEYP),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028910,Pargos (Lutjanus purpureus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028921,Chernas (Polyprion americanus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028922,Meros (Acanthistius spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028923,Esturiones (Acipenser baerii),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028924,Pejerreyes (Atherina spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028931,Prochilodus platensis,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028932,Tilapias (Tilapia spp.. Sarotherodon spp.. Danakilia spp.; sus hibridos),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028933,Pseudoplatystoma coruscans,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028934,Tarariras (Hoplias malabaricus & H.cf. lacerdae),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028935,Bogas (Leporinus spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028936,Lisas (Mugil spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028937,Arapaimas (Arapaima gigas),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028938,Pescadillas (Cynoscion spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028941,«Piramutabas» (Brachyplatystoma vaillantii),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028942,Douradas (Brachyplatistoma flavicans),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028943,Pacues (Piaractus mesopotamicus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028944,Tambaquies (Colossoma macropomum),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028945,Tambacues (hibridos de tambaquies y pacues),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03028990,Armados (Pterodoras spp.; Oxydoras spp.; Rhinodoras spp.; Anadoras spp.; Platydoras spp.; Trachidoras spp.; Doras spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03029100,Huevas de Esturion (Ascipenser baeri),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03029200,--Aletas de tiburon,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03029900,--Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03031100,--Salmones rojos (Oncorhynchus nerka),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03031200,--Los demas salmones del Pacifico (Oncorhynchus gorbuscha. Oncorhynchus keta. Oncorhynchus tschawytscha. Oncorhynchus kisutch. Oncorchynchus masou y Oncorhynchus rhodurus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03031300,Salmones del Atlantico (Salmo salar),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03031400,Trucha corte mariposa proveniente de cultivo (Oncorhynchus mykiss) (Res. 137/08 MEYP),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03031900,En envases inmediatos de contenido neto inferior o igual a 1 kg (R.420/99 MEYOSP),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03032300,En envases inmediatos de contenido neto inferior o igual a 1kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03032410,En envases inmediatos de contenido neto inferior o igual a 1 kg (R.420/99 MEYOSP),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03032490,En envases inmediatos de contenido neto inferior o igual a 1kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03032500,En envases inmediatos de contenido neto inferior o igual a 1kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03032600,--Anguilas (Anguilla spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03032900,En envases inmediatos de contenido neto inferior o igual a 1 kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03033100,--Fletanes (halibut) (Reinhardtius hippoglossoides. Hippoglossus hippoglossus. Hippoglossus stenolepis),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03033200,--Sollas (Pleuronectes platessa),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03033300,--Lenguados (Solea spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03033400,En envases inmediatos de contenido neto inferior o igual a 1kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03033900,--Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03034100,--Albacoras o atunes blancos (Thunnus alalunga),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03034200,--Atunes de aleta amarilla (rabiles) (Thunnus albacares),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03034300,--Listados o bonitos de vientre rayado,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03034400,--Patudos o atunes ojo grande (Thunnus obesus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03034500,--Atunes comunes o de aleta azul. del Atlantico y del Pacifico (Thunnus thynnus.Thunnus orientalis),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03034600,--Atunes del sur (Thunnus maccoyii),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03034900,--Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03035100,--Arenques (Clupea harengus. Clupea pallasii),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03035300,--Sardinas (Sardina pilchardus. Sardinops spp.). sardinelas (Sardinella spp.) y espadines (Sprattus sprattus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03035400,En envases inmediatos de contenido neto inferior o igual a 1 kg (R.420/99 MEYOSP),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03035500,En envases inmediatos de contenido neto inferior o igual a 1kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03035600,En envases inmediatos de contenido neto inferior o igual a 1kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03035700,En envases inmediatos de contenido neto inferior o igual a 1 kg.,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03035910,En envases inmediatos de contenido neto inferior o igual a 1 kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03035920,En envases inmediatos de contenido neto inferior o igual a 1 kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03035990,En envases inmediatos de contenido neto inferior o igual a 1 kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03036300,--Bacalaos (Gadus morhua. Gadus ogac. Gadus macrocephalus),,3,21,false,,Base NCM feb-2023 (Kaggle).
03036400,--Eglefinos (Melanogrammus aeglefinus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03036500,--Carboneros (Pollachius virens),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03036600,Descabezada y eviscerada. incluso sin cola (H&G Y H&G&T),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03036700,En envases inmediatos de contenido neto inferior o igual a 1kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03036800,En envases inmediatos de contenido neto inferior o igual a 1kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03036910,En envases inmediatos de contenido neto inferior o igual a 1 kg (R.420/99 MEYOSP),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03036990,Bacalao criollo (Salilota australis),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03038111,En envases inmediatos de contenido neto inferior o igual a 1Kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03038112,En envases inmediatos de contenido neto inferior o igual a 1Kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03038113,En envases inmediatos de contenido neto inferior o igual a 1Kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03038114,En envases inmediatos de contenido neto inferior o igual a 1Kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03038119,En envases inmediatos de contenido neto inferior o igual a 1Kg,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03038190,Gatuzo (Mustelus schmitti),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03038200,Aletas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
